Id,Label,class,methods,constructors,public methods,private methods,static methods,abstract methods,native methods,synchronized methods,final methods,members,public members,private members,protected members,synchronized members,final members,interface classes,abstract classes,directly associated classes,indirectly associated classes,class size,connections
java.beans.PropertyVetoException,PropertyVetoException,java.beans.PropertyVetoException,1,1,1,0,0,0,0,0,1,2,0,2,0,0,1,0,0,2,622,3,113
sun.reflect.ReflectionFactory,ReflectionFactory,sun.reflect.ReflectionFactory,22,1,16,2,7,0,0,0,0,6,0,6,0,0,0,4,5,13,620,28,3085
java.lang.Throwable$PrintStreamOrWriter,PrintStreamOrWriter,java.lang.Throwable$PrintStreamOrWriter,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,620,2,3085
java.awt.Composite,Composite,java.awt.Composite,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1177,1,675
sun.text.normalizer.NormalizerBase$NFCMode,NFCMode,sun.text.normalizer.NormalizerBase$NFCMode,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,648,8,14
java.awt.Point,Point,java.awt.Point,10,3,10,0,0,0,0,0,1,3,2,1,0,0,1,1,2,7,624,14,760
java.awt.Dimension,Dimension,java.awt.Dimension,10,3,9,1,1,0,1,0,1,3,2,1,0,0,1,1,2,5,622,14,759
java.util.concurrent.ConcurrentSkipListMap$Node,Node,java.util.concurrent.ConcurrentSkipListMap$Node,8,2,0,0,0,0,0,0,4,6,0,3,0,0,4,0,0,5,642,14,17
sun.java2d.cmm.ProfileActivator,ProfileActivator,sun.java2d.cmm.ProfileActivator,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,621,1,681
java.util.NavigableSet,NavigableSet,java.util.NavigableSet,15,0,15,0,0,15,0,0,0,0,0,0,0,0,0,3,3,4,622,16,106
java.text.BreakIterator,BreakIterator,java.text.BreakIterator,28,1,22,3,15,9,0,0,6,6,1,5,0,0,6,2,4,9,624,35,683
java.lang.management.MonitorInfo,MonitorInfo,java.lang.management.MonitorInfo,3,1,3,0,1,0,0,0,0,2,0,2,0,0,0,1,1,4,657,5,1
java.util.regex.Pattern$SingleU,SingleU,java.util.regex.Pattern$SingleU,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,620,2,3088
java.io.NotSerializableException,NotSerializableException,java.io.NotSerializableException,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,620,1,3089
java.awt.Polygon$PolygonPathIterator,PolygonPathIterator,java.awt.Polygon$PolygonPathIterator,5,1,5,0,0,0,0,0,1,4,0,0,0,0,1,1,1,4,643,10,676
javax.swing.JMenuBar,JMenuBar,javax.swing.JMenuBar,33,1,27,2,1,0,0,0,4,7,0,7,0,0,4,3,9,22,1293,42,73
java.awt.Stroke,Stroke,java.awt.Stroke,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,638,1,678
java.util.Collections$SingletonMap,SingletonMap,java.util.Collections$SingletonMap,8,1,8,0,0,0,0,0,3,6,0,6,0,0,3,3,4,8,663,15,48
java.awt.ItemSelectable,ItemSelectable,java.awt.ItemSelectable,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,1177,3,677
java.beans.PersistenceDelegate,PersistenceDelegate,java.beans.PersistenceDelegate,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,627,4,78
java.awt.Conditional,Conditional,java.awt.Conditional,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,675
java.awt.datatransfer.MimeType,MimeType,java.awt.datatransfer.MimeType,18,4,15,3,1,0,0,0,2,5,0,4,0,0,2,4,4,11,623,25,676
java.util.Map,Map,java.util.Map,14,0,14,0,0,14,0,0,0,0,0,0,0,0,0,4,4,5,620,14,3100
org.w3c.dom.Document,Document,org.w3c.dom.Document,31,0,31,0,0,31,0,0,0,0,0,0,0,0,0,13,13,15,640,32,23
sun.security.util.ObjectIdentifier,ObjectIdentifier,sun.security.util.ObjectIdentifier,23,4,5,17,14,0,0,0,2,7,0,6,0,0,2,1,1,11,635,31,23
java.util.HashMap$HashIterator,HashIterator,java.util.HashMap$HashIterator,3,1,2,0,0,0,0,0,1,5,0,0,0,0,1,1,1,4,620,9,3090
java.util.TreeMap$NavigableSubMap$EntrySetView,EntrySetView,java.util.TreeMap$NavigableSubMap$EntrySetView,4,1,4,0,0,0,0,0,1,3,0,2,0,0,1,0,2,3,645,7,34
